,subject,new_relation,object
77456,all,gene_disease,respiratory virus
77460,disorder,disease_disease,condition
77484,jaundice,symptom_disease,ba
77485,reye syndrome,disease_disease,encephalopathy
77486,pruritus,disease_symptom,jaundice
77487,haemochromatosis,disease_disease,disorder
77491,lupus erythematosus,disease_disease,rare disorder
77493,lupus erythematosus,disease_species,infant
77494,liver failure,disease_gene,pattern
77497,presence,treat_procedure_disease,ba
77498,viral infection,disease_disease,ba
77499,disorder,disease_disease,ba
77501,infiltration,treat_procedure_disease,syndrome
77502,cholestasis,disease_disease,ba
77504,cirrhosis,disease_species,child
77505,cholestasis,disease_treat_procedure,dilation
77507,cholangitis,disease_disease,fibrosis
77508,drainage,symptom_treat_procedure,detected
77510,disease,disease_gene,growth factor receptor
77511,sclerotherapy,treat_procedure_species,patient
77513,acid,drug_treat_procedure,treatment regimen
77514,he,disease_disease,pruritus
77516,vitamin deficiency,disease_disease,deafness
77517,growth failure,disease_disease,deafness
77518,dilation,treat_procedure_gene,microfilaments
77519,jaundice,symptom_disease,pruritus
77520,jaundice,symptom_species,infant
77522,kidney stone,disease_disease,diabetes
77525,liver transplantation,treat_procedure_treat_procedure,intervention
77526,liver,disease_drug,pct
77527,liver disease,disease_disease,genetic defect
77529,transport,gene_gene,hepatocytes
77531,bowel disease,disease_disease,ulcer
77532,inflammatory bowel disease,disease_disease,ulcer
77533,pancreatitis,disease_disease,myocardial infarction
77537,weakness,symptom_disease,rhabdomyolysis
77538,hepatopathy,disease_disease,swollen
77539,fibrosis,disease_disease,mucopolysaccharidoses
77540,esotropia,disease_treat_procedure,fat
77541,at,drug_gene,elastase
77542,pi,gene_disease,lung disease
77543,lt,gene_species,child
77548,viral infection,disease_treat_procedure,application
77549,infection,disease_treat_procedure,application
77555,he,disease_gene,large
77557,deficiency,disease_gene,past
77558,fatty acid deficiency,disease_gene,past
77560,fatty acid,drug_disease,fibrosis
77561,lectin,gene_gene,type ii
77563,disorder,disease_disease,hypertrophy
77565,disorder,disease_disease,ventricular hypertrophy
77566,mld,disease_disease,disorder
77567,gene,gene_gene,acid sphingomyelinase
77568,cholestasis,disease_species,infant
77569,peroxisomes,gene_disease,liver
77570,cholestasis,disease_disease,fibrosis
77575,abortion,treat_procedure_species,woman
77576,copper,drug_drug,copper
77577,copper,drug_treat_procedure,reduction
77578,copper,drug_gene,albumin
77579,copper,drug_treat_procedure,induction
77580,combination therapy,treat_procedure_drug,zinc
77581,copper,drug_species,patient
77583,steatosis,disease_disease,portal inflammation
77591,copper,drug_gene,cytoplasm
77594,copper,drug_disease,sclerosing cholangitis
77595,copper,drug_disease,primary sclerosing cholangitis
77596,copper,drug_gene,cytosol
77598,granulomatous disease,disease_disease,infection
77600,haemophagocytic syndrome,disease_disease,disease
77603,pancreas,disease_drug,sd
77604,nonalcoholic steatohepatitis,disease_disease,cirrhosis
77605,actin,gene_gene,anti-gfp
77607,angiotensin ii,drug_disease,sodium retention
77614,reduction,treat_procedure_disease,myocardial fibrosis
77616,ace2,gene_disease,ischemic stroke
77617,ace2,gene_disease,stroke
77618,ace2,gene_disease,glomerular injury
77619,ace2,gene_disease,injury
77620,lung,disease_gene,human ace2
77621,lung,disease_gene,human recombinant ace2
77623,human ace2,gene_disease,kidney disease
77625,human recombinant ace2,gene_disease,kidney disease
77626,human recombinant ace2,gene_disease,diabetic kidney disease
77628,human ace2,gene_disease,diabetic kidney disease
77629,3clpro,gene_drug,valine
77630,ish,gene_disease,rna
77635,anorexia,disease_gene,damage
77636,diuretic therapy,treat_procedure_drug,furosemide
77637,thiazide,drug_disease,cardiovascular disease
77638,hypokalemia,disease_species,patient
77644,sex,gene_disease,hypokalemia
77648,fluid,disease_gene,lactate dehydrogenase
77649,pericardial fluid,disease_gene,lactate dehydrogenase
77654,fluid,disease_gene,ldh
77655,pericardial fluid,disease_disease,pericardial fluid
77656,pericardial fluid,disease_disease,fluid
77659,fluid,disease_disease,pericardial fluid
77660,pericardial fluid,disease_gene,ldh
77675,s protein,gene_gene,cloned
77677,anti-his antibody,gene_gene,antibody
77678,in,gene_treat_procedure,map
77681,map,treat_procedure_species,mouse
77682,respiratory infection,disease_species,calf
77683,brd,disease_treat_procedure,treatment
77685,respiratory tract disease,disease_gene,rare
77686,diarrhoea,symptom_gene,rare
77690,sd,gene_treat_procedure,treatment
77694,fipv,drug_disease,disease
77695,fcov,drug_gene,spike
77697,3b,gene_gene,enhanced green fluorescent protein
77698,ecori site,gene_gene,bamhi site
77699,3b,gene_gene,protein
77700,3b,gene_gene,fluorescent protein
77701,3b,gene_gene,green fluorescent protein
77702,forward primer,gene_gene,ecori site
77703,treatment,treat_procedure_gene,t4 dna ligase
77704,3b protein,gene_gene,cytoplasm
77705,outer membrane,gene_gene,porins
77707,membrane,gene_gene,porins
77714,chromones,drug_gene,sd
77717,viral infection,disease_species,pig
77720,cd3,gene_disease,high
77722,erk,gene_gene,p38
77723,repair,treat_procedure_gene,mmps
77724,erk,gene_gene,jnk
77725,linezolid,drug_disease,infectious disease
77726,linezolid,drug_treat_procedure,treat
77731,nucleotide,drug_gene,mutant
77739,disease,disease_disease,pulmonary congestion
77740,disease,disease_disease,congestion
77741,plague,disease_treat_procedure,incision
77744,plague,disease_treat_procedure,enlarged
77746,meningitis,disease_disease,bubonic plague
77753,plague,disease_disease,pharyngitis
77755,plague,disease_treat_procedure,release
77765,rifampin,drug_species,mouse
77767,rifampin,drug_disease,pneumonic plague
77769,rifampin,drug_disease,plague
77780,distress syndrome,disease_disease,disorder
77781,acute respiratory distress syndrome,disease_disease,bacterial sepsis
77783,respiratory distress syndrome,disease_disease,disorder
77784,acute respiratory distress syndrome,disease_disease,disorder
77785,respiratory distress syndrome,disease_disease,bacterial sepsis
77787,distress syndrome,disease_disease,bacterial sepsis
77800,atopy,disease_disease,hypersensitivity
77806,hrsv infection,disease_disease,childhood
77807,hrsv infection,disease_disease,allergic sensitization
77810,cdc,disease_disease,h1n1 pandemic
77818,f3,gene_drug,no
77819,fucose,drug_drug,arabinose
77821,fucose,drug_drug,mannose
77822,fucose,drug_drug,xylose
77831,prothrombin,gene_gene,thrombin
77832,arteriosclerosis,disease_disease,shock
77833,arteriosclerosis,disease_disease,hemorrhagic shock
77834,vitamin,drug_gene,protein
77836,fed,disease_treat_procedure,supplementation
77837,bed,disease_species,goat
77838,parturition,treat_procedure_species,cattle
77840,bed,disease_symptom,restlessness
77841,vagina,disease_disease,blind
77842,penis,disease_disease,scrotum
77843,removal,treat_procedure_species,cow
77844,best,gene_species,wool
77845,caseous lymphadenitis,disease_symptom,oral pain
77846,syndrome,disease_species,sheep
77847,caseous lymphadenitis,disease_symptom,pain
77848,lymphadenitis,disease_symptom,oral pain
77850,lymphadenitis,disease_symptom,pain
77851,lymphadenopathy,disease_disease,septicemia
77853,necrosis,disease_disease,emphysema
77854,acute disease,disease_species,cattle
77856,necrosis,disease_disease,edema
77865,vulvovaginitis,disease_disease,ulcer
77866,dermatitis,disease_species,goat
77869,suppurative dermatitis,disease_species,goat
77874,tetracycline,drug_drug,spectinomycin
77881,contagious disease,disease_disease,sheep disease
77883,placentitis,disease_treat_procedure,abortion
77886,sporadic disease,disease_disease,disease
77889,mastitis,disease_species,goat
77890,brucellosis,disease_disease,mastitis
77891,listeriosis,disease_disease,mastitis
77892,keratoconjunctivitis,disease_disease,sheep disease
77893,asymptomatic infection,disease_gene,antibody
77898,16,gene_species,sars cov
77899,umbilical hernia,disease_gene,past
77902,acute gastroenteritis,disease_disease,septicemia
77912,infection,disease_species,yersinia enterocolitica
77916,blv,disease_disease,type
77917,arthrogryposis,disease_disease,porencephaly
77918,copper deficiency,disease_disease,muscle disease
77919,copper deficiency,disease_disease,white muscle disease
77925,copper deficiency,disease_disease,listeriosis
77929,lymphocytic meningoencephalitis,disease_disease,necrotic lesion
77930,meningoencephalitis,disease_disease,necrotic lesion
77931,pain,symptom_disease,balanoposthitis
77933,ibr,disease_disease,balanoposthitis
77941,vaccine,disease_disease,orf
77944,viral infection,disease_disease,atrophy
77947,abortion,treat_procedure_disease,contagious disease
77948,abortion,treat_procedure_symptom,hyperthermia
77949,abortion,treat_procedure_disease,contagious
77954,damage,gene_species,worm
77958,enlargement,treat_procedure_disease,neonatal respiratory distress
77959,enlargement,treat_procedure_species,wool
77961,scoliosis,disease_symptom,joint pain
77962,enlargement,treat_procedure_symptom,dyspnea
77963,enlargement,treat_procedure_symptom,respiratory distress
77964,scoliosis,disease_symptom,pain
77965,condition,disease_disease,right
77969,hypoglycemia,disease_drug,glucose
77970,toxemia,disease_species,ewe
77972,fatty acid,drug_species,cow
77973,fatty acid,drug_disease,face
77974,silica,drug_drug,calcium
77977,amputation,treat_procedure_disease,disease
77978,metabolic disease,disease_disease,deficiency
77981,demyelination,disease_disease,spinal cord
77982,demyelination,disease_disease,cord
77983,muscle disease,disease_treat_procedure,parturition
77984,white muscle disease,disease_treat_procedure,parturition
77985,fed,disease_disease,high
77987,tumor,disease_species,sheep
77990,cd4,gene_gene,rantes
77992,meninges,disease_disease,brain
77995,respiratory problem,disease_species,human
77999,igm antibody,gene_gene,igg
78001,finding,symptom_species,men
78004,infection,disease_disease,mononucleosis
78005,wound,disease_disease,wound
78012,injection,treat_procedure_species,influenza virus
78018,thoracotomy,treat_procedure_disease,pneumothorax
78019,gas,symptom_disease,ventilator
78020,thoracotomy,treat_procedure_disease,mediastinal emphysema
78021,thoracotomy,treat_procedure_disease,emphysema
78024,subcutaneous emphysema,disease_disease,disease
78027,emphysema,disease_disease,disease
78028,tetraparesis,symptom_gene,tap
78030,motor neuron disease,disease_species,cat
78031,lower motor neuron disease,disease_species,cat
78033,diabetic polyneuropathy,disease_species,cat
78036,gastric cancer,disease_gene,topoisomerase ii
78037,cancer,disease_gene,topoisomerase ii
78042,surgery,treat_procedure_treat_procedure,intervention
78048,sirna,gene_species,immunodeficiency virus
78051,sirna,gene_disease,poliovirus infection
78053,sirna,gene_disease,retroviral infection
78054,sirna,gene_disease,infection
78055,clone,gene_disease,infectious
78056,co-infection,disease_disease,major
78058,thoracoscopic surgery,treat_procedure_treat_procedure,procedure
78059,thoracoscopic surgery,treat_procedure_treat_procedure,common procedure
78060,surgery,treat_procedure_treat_procedure,common procedure
78068,alanine aminotransferase,gene_gene,albumin
78073,mechanical ventilation,treat_procedure_treat_procedure,extracorporeal membrane oxygenation
78074,methanol,drug_drug,formic acid
78082,therapy,treat_procedure_symptom,rash
78086,infection,disease_species,bordetella pertussis
78088,co-infection,disease_species,rhinovirus
78093,fit,symptom_disease,ltcs
78094,ltcs,disease_disease,virus
78097,ace2,gene_disease,public
78104,pd,disease_disease,cld
78107,aspirin,drug_disease,reye syndrome
78108,inflammation,disease_disease,alveolar collapse
78112,gene,gene_disease,inflammation
78122,lymphopenia,disease_disease,pandemic
78132,disease,disease_disease,icd
78133,diabetes,disease_disease,high
78136,virus,disease_treat_procedure,aid
78139,lengthening,treat_procedure_gene,all
78140,spinal cord compression,disease_disease,tumor
78141,radiotherapy,treat_procedure_disease,spinal cord compression
78142,radiotherapy,treat_procedure_disease,cord compression
78147,ari,drug_species,influenza virus
78153,aim,treat_procedure_disease,bacterial infection
78154,human bocavirus,disease_drug,ari
78155,bocavirus,disease_drug,ari
78156,rsv,drug_drug,ari
78158,antibody,gene_gene,erythrocyte membrane
78159,community,disease_disease,covid-19
78161,first line treatment,treat_procedure_disease,bipolar disorder
78165,respiratory tract infection,disease_disease,urinary tract infection
78166,radiotherapy,treat_procedure_disease,carcinoma
78167,administration,treat_procedure_treat_procedure,intervention
78170,top,gene_drug,flucloxacillin
78171,ct,drug_gene,qc
78176,acid,drug_disease,icu
78177,application,treat_procedure_gene,call
78178,depression,disease_disease,epilepsy
78180,cns disease,disease_disease,depression
78187,dd,disease_treat_procedure,detected
78189,anorexia,disease_symptom,nausea
78190,serum albumin,gene_disease,wasting
78191,malnutrition,disease_disease,type
78192,spike protein,gene_gene,s gene
78194,od,drug_disease,sr
78198,pancytopenia,disease_drug,linezolid
78201,malignancy,disease_treat_procedure,stem cell transplant
78204,malignancy,disease_treat_procedure,organ transplant
78205,hematologic malignancy,disease_species,patient
78209,disease,disease_disease,subgroup
78211,drug,drug_treat_procedure,prophylaxis
78225,parvum,disease_disease,hsv infection
78226,eye therapy,treat_procedure_disease,glaucoma
78229,polyneuropathies,disease_species,coronaviruses
78230,gb,disease_symptom,muscle weakness
78238,anorexia,disease_disease,nasal
78240,anorexia,disease_symptom,dyspnea
78255,ovine respiratory syncytial virus,disease_treat_procedure,detected
78257,chronic inflammation,disease_disease,ards
78258,inflammation,disease_disease,ards
78268,immunosuppression,treat_procedure_species,patient
78271,sepsis,disease_disease,respiratory infection
78282,inflammation,disease_disease,sepsis
78292,cysteine,drug_treat_procedure,reactive
78296,virus particle,gene_treat_procedure,release
78297,virus,disease_disease,ali
78299,infection,disease_species,hrsv
78301,ribavirin,drug_species,hrsv
78309,imipenem,drug_drug,amikacin
78311,steroid,drug_disease,ards
78320,step,gene_species,sars cov
78326,pneumonia,disease_symptom,cough
78330,ct,drug_disease,infection
78336,end,gene_disease,infectious disease
78337,organ dysfunction,disease_species,patient
78347,rna,disease_treat_procedure,isolation
78348,step,gene_treat_procedure,ligation
78349,mechanical ventilation,treat_procedure_disease,barotrauma
78351,oseltamivir,drug_drug,moxifloxacin
78359,hai,gene_species,participant
78364,infection,disease_disease,invasive
78369,disease,disease_disease,autoimmune enteropathy
78370,disease,disease_disease,enteropathy
78371,vaccination,treat_procedure_treat_procedure,prophylaxis
78372,formula,treat_procedure_disease,allergic
78373,revascularization,treat_procedure_species,patient
78374,kc,gene_treat_procedure,isolation
78375,kc,gene_gene,lp
78376,kc,gene_species,rat
78381,hunger,symptom_disease,consumption
78382,public health,disease_gene,gpg
78388,lectin,gene_species,specie
78389,isolation,treat_procedure_disease,shock
78390,bacteremia,disease_disease,hypotension
78391,isolation,treat_procedure_disease,bacteremia
78392,fever,symptom_drug,teicoplanin
78393,fever,symptom_drug,cefepime
78400,removal,treat_procedure_disease,bacteremia
78402,ct,drug_disease,disease progression
78407,serum,gene_disease,rna
78411,wheezing,symptom_disease,rsv infection
78412,wheezing,symptom_species,infant
78431,pain,symptom_disease,disease
78433,fever,symptom_disease,splenomegaly
78435,jaundice,symptom_symptom,diarrhea
78436,hospital infection,disease_species,yellow fever virus
78439,alphavirus infection,disease_disease,laboratory infection
78441,ketoacidosis,disease_disease,coma
78443,fever,symptom_disease,maculopapular rash
78444,infection,disease_disease,leukopenia
78449,myalgia,symptom_disease,proteinuria
78450,myalgia,symptom_symptom,neck stiffness
78453,pro,gene_gene,nsp3
78456,glycine,drug_drug,valine
78457,change,treat_procedure_treat_procedure,enlargement
78458,poly,drug_disease,2009
78460,rv,drug_gene,p53
78463,combination therapy,treat_procedure_drug,fipv
78464,sirna,gene_treat_procedure,combination therapy
78465,mask,gene_treat_procedure,pen
78469,ibv,drug_disease,acute disease
78471,ibv,drug_gene,simple
78474,fever,symptom_disease,norovirus infection
78480,hendra,disease_species,p. alecto
78481,hendra,disease_species,p. vampyrus
78486,disease,disease_disease,cdc
78500,nn,disease_species,patient
78502,gene,gene_disease,er
78527,inflammatory lesion,disease_disease,polioencephalomyelitis
78529,viral infection,disease_disease,cns disease
78530,viral infection,disease_treat_procedure,change
78535,antigen,gene_gene,cdr3 region
78537,clozapine,drug_disease,schizophrenia
78539,clozapine,drug_treat_procedure,treatment
78540,febrile neutropenia,disease_disease,acute respiratory distress syndrome
78541,neutropenia,disease_species,coronavirus
78542,febrile neutropenia,disease_species,coronavirus
78544,pandemic,disease_gene,rna polymerase
78545,pandemic,disease_gene,rna dependent rna polymerase
78546,pandemic,disease_gene,rdrp
78547,androgen,drug_disease,tissue
78549,lrr,gene_gene,protein
78550,lrr,gene_gene,nucleus
78551,lrr,gene_gene,ne
78572,s construct,gene_gene,ep3
78582,viral,disease_gene,n protein
78586,disease,disease_disease,dementia
78587,disease,disease_disease,frontotemporal dementia
78588,stimulation,treat_procedure_species,prrsv
78589,presence,treat_procedure_disease,prrsv infection
78592,stimulation,treat_procedure_disease,csfv
78593,il6,gene_gene,suppressor of cytokine signaling 1
78594,chloroquine,drug_drug,amine
78595,hydroxychloroquine,drug_drug,amine
78599,discussion,treat_procedure_treat_procedure,isolation
78604,dilation,treat_procedure_disease,lung
78605,ct,drug_disease,lung lesion
78606,sars cov infection,disease_disease,mod
78607,shock,disease_disease,cardiac injury
78608,shock,disease_disease,arrhythmia
78609,shock,disease_disease,injury
78611,mddcs,gene_gene,cd83
78614,cd14,gene_gene,cd86
78615,cd14,gene_gene,cd163
78616,mdms,disease_gene,cd14
78617,cd14,gene_gene,cd169
78618,infection,disease_disease,mdms
78619,apc,gene_disease,human disease
78621,apc,gene_species,hiv
78622,apc,gene_disease,infectious disease
78623,apc,gene_disease,disease
78627,mddcs,gene_species,sars cov
78629,mddcs,gene_disease,virus
78630,mddcs,gene_gene,host
78638,hindiii,gene_gene,hindiii
78642,body,gene_drug,ct
78644,middle east respiratory syndrome,disease_disease,respiratory disease
78647,bacterial infection,disease_disease,lower respiratory tract infection
78649,pf,disease_treat_procedure,detected
78650,entecavir,drug_disease,hbv
78651,bkv,disease_disease,cystitis
78652,bkv,disease_disease,hemorrhagic cystitis
78653,hepatitis,disease_disease,fatal
78654,pneumonitis,disease_disease,fatal
78659,respiratory disorder,disease_species,coronavirus
78667,type,disease_species,adenovirus
78669,acute respiratory distress syndrome,disease_disease,dysfunction
78670,distress syndrome,disease_disease,dysfunction
78671,respiratory distress syndrome,disease_disease,dysfunction
78673,condition,disease_symptom,diarrhea
78677,hmpv,drug_disease,lower respiratory tract illness
78681,hmpv,drug_disease,acute illness
78682,hmpv,drug_disease,acute respiratory illness
78687,impact,gene_treat_procedure,vi
78688,infection,disease_treat_procedure,triage
78689,fusion,treat_procedure_gene,cell membrane
78698,niv,drug_species,pig
78704,lentiviruses,disease_gene,past
78707,lysate,gene_drug,ni
78708,presence,treat_procedure_treat_procedure,procedure
78710,presence,treat_procedure_gene,akita
78713,phage,disease_gene,antibody
78714,diarrhea,symptom_species,human
78716,rotavirus,disease_symptom,diarrheal disease
78717,rotavirus,disease_species,infant
78724,fixation,treat_procedure_disease,dehydrated
78728,heme,drug_disease,septicemia
78731,airway management,treat_procedure_symptom,anaesthesia
78733,obstruction,disease_treat_procedure,detected
78739,severe acute respiratory syndrome coronavirus,disease_disease,infectious disease
78747,respiratory disease,disease_disease,haart
78748,disease,disease_disease,haart
78749,cough,symptom_species,herpes simplex
78752,histoplasmosis,disease_species,patient
78754,leishmaniasis,disease_species,patient
78755,visceral leishmaniasis,disease_species,patient
78758,nephropathy,disease_disease,hepatitis b
78759,nephropathy,disease_disease,chronic hepatitis b
78766,effusion,disease_disease,hiv infection
78768,pleural effusion,disease_disease,hiv infection
78775,disease,disease_disease,pulmonary tuberculosis
78776,pcp,drug_disease,respiratory symptom
78777,pcp,drug_symptom,fever
78778,infection,disease_species,aspergillus specie
78781,respiratory complication,disease_species,patient
78782,cmv,drug_drug,cmv
78785,toxoplasma gondii infection,disease_species,patient
78788,sedation,treat_procedure_drug,benzodiazepine
78789,second line treatment,treat_procedure_treat_procedure,treatment
78790,pentamidine,drug_treat_procedure,treatment
78793,pentamidine,drug_species,patient
78795,pcp,drug_disease,respiratory failure
78798,tuberculosis,disease_treat_procedure,treatment
78800,treatment,treat_procedure_gene,extended
78802,rifampin,drug_drug,isoniazid
78804,regimen,treat_procedure_drug,rifampin
78806,leishmaniasis,disease_drug,amphotericin b
78808,visceral leishmaniasis,disease_drug,amphotericin b
78811,rifampin,drug_drug,pyrazinamide
78813,reduction,treat_procedure_gene,rr
78814,tuberculosis,disease_treat_procedure,therapy
78816,tb,drug_disease,haart
78817,lung cancer,disease_disease,haart
78818,pneumonia,disease_disease,haart
78820,bacterial pneumonia,disease_disease,haart
78832,serum,gene_drug,monolayers
78839,he,disease_disease,respiratory deterioration
78847,diarrhoea,symptom_gene,serum
78848,immunotherapy,treat_procedure_disease,fulminant hepatitis
78849,immunotherapy,treat_procedure_disease,hepatitis
78850,delivery,treat_procedure_treat_procedure,cardiac rehabilitation
78851,delivery,treat_procedure_treat_procedure,rehabilitation
78853,inoculation,treat_procedure_species,vaccinia virus
78861,vitamin c,drug_disease,ards
78862,lung injury,disease_drug,vitamin c
78863,vitamin c,drug_gene,gene
78865,vitamin c,drug_disease,sepsis
78867,respiratory infection,disease_species,cat
78868,hemorrhagic pneumonia,disease_species,dog
78870,acute diarrhea,disease_disease,dehydration
78885,diarrhea,symptom_disease,inflammation
78891,polymerase,gene_gene,polypeptide
78907,anxiety disorder,disease_disease,allergic rhinitis
78908,anxiety disorder,disease_disease,rhinitis
78911,she,gene_treat_procedure,plasmapheresis
78922,weakness,symptom_treat_procedure,immunomodulation
78923,muscle weakness,symptom_disease,atelectasis
78927,chromium,drug_disease,blood
78929,cadmium,drug_disease,blood
78934,rna,disease_drug,amino acid
78939,cap,treat_procedure_drug,guanine nucleotide
78942,ribosome,gene_gene,protein
78943,trna,gene_drug,amino acid
78949,ac,disease_disease,pandemic
78953,ac,disease_treat_procedure,treatment
78954,lipid,gene_gene,lipid bilayers
78957,light,gene_treat_procedure,irradiated
78958,piv infection,disease_drug,rsv
78961,coinfections,disease_disease,cytomegalovirus
78962,pft,disease_species,patient
78964,viral,disease_disease,mpv infection
78966,class i fusion protein,gene_species,coronaviruses
78967,class i fusion protein,gene_gene,spike protein
78968,loop,gene_gene,ab
78978,plasma membrane,gene_gene,vesicle
78980,plasma membrane,gene_gene,intracellular vesicle
78983,membrane,gene_gene,base
78984,dynamin,gene_gene,membrane
78986,stabilization,treat_procedure_drug,cytochalasin d
78987,acidification,treat_procedure_gene,early endosome
78993,capsid,gene_gene,intact
78995,vfs,gene_gene,nucleus
78996,rac1,gene_gene,protein
78997,bip,gene_gene,upr
79001,cytoplasm,gene_gene,gelsolin
79005,coli,disease_disease,colitis
79007,detection,treat_procedure_disease,tract infection
79009,subunit,gene_disease,infection
79011,subunit,gene_disease,enteric infection
79015,adv infection,disease_species,ferret
79017,elevation,treat_procedure_gene,neutrophil
79025,ube1l,gene_gene,ubch8
79026,ube1l,gene_gene,herc5
79030,dysfunction,disease_disease,organ dysfunction
79031,endothelial dysfunction,disease_disease,viral infection
79033,dysfunction,disease_disease,viral infection
79034,endothelial dysfunction,disease_disease,organ dysfunction
79043,il,gene_disease,edema
79044,il,gene_disease,pulmonary edema
79049,recombinant protein,gene_gene,fc region
79050,protein,gene_gene,fc region
79051,corticosteroid,drug_species,sars
79055,disease,disease_species,ebola virus
79058,hemorrhage,disease_symptom,symptom
79061,fatigue,symptom_disease,myalgia
79062,fatigue,symptom_disease,headache
79063,fatigue,symptom_disease,hearing loss
79064,fatigue,symptom_symptom,insomnia
79065,lassa fever,disease_species,measles
79070,anaesthesia,symptom_drug,pentobarbital
79071,dehydrated,disease_drug,uranyl acetate
79072,pattern,gene_drug,carbon
79075,pi,gene_disease,infection
79077,mf59,drug_drug,alum
79078,101,disease_species,men
79084,gastroenteritis,disease_disease,norovirus
79086,aim,treat_procedure_treat_procedure,procedure
79091,peg,drug_species,tgev
79093,procedure,treat_procedure_disease,virus
79120,lower respiratory tract infection,disease_species,patient
79122,diarrhoea,symptom_species,swine
79123,infectious disease,disease_disease,enteritis
79126,acute enteritis,disease_species,pig
79128,enteric disease,disease_disease,acute enteritis
79131,infectious disease,disease_disease,acute enteritis
79132,cold,disease_species,coronavirus
79134,cfr,gene_disease,hcw
79141,infection,disease_disease,attenuated virus
79142,prophylaxis,treat_procedure_drug,amantadine
79143,kidney injury,disease_disease,multiple organ failure
79144,kidney injury,disease_symptom,organ failure
79145,acute kidney injury,disease_symptom,organ failure
79146,acute kidney injury,disease_disease,multiple organ failure
79147,application,treat_procedure_gene,rrt
79149,bicarbonate,drug_drug,acid
79154,hemoperfusion,treat_procedure_treat_procedure,removal
79158,diabetes,disease_disease,pseudorabies
79160,diabetes,disease_species,hepatitis c
79161,diabetes,disease_disease,pneumonia
79187,antibody,gene_species,sars
79188,vaccine,disease_species,measles
79194,sex,gene_disease,hay fever
79195,nasal discharge,symptom_disease,cold
79196,treatment,treat_procedure_disease,cold
79197,treatment,treat_procedure_species,rhinovirus
79198,discharge,symptom_disease,cold
79221,pandemic,disease_gene,cfr
79229,placebo,treat_procedure_species,calf
79231,vaccination,treat_procedure_disease,otitis medium
79237,zbcov,gene_species,sars cov
79239,s2m,gene_species,coronaviruses
79240,zbcov,gene_species,coronavirus
79243,zbcov,gene_species,coronaviruses
79260,liver injury,disease_gene,alt
79263,type,disease_disease,cord
79265,exosomes,gene_disease,inflammation
79269,cleaved caspase 3,gene_gene,bax
79270,caspase,gene_gene,bax
79271,caspase 3,gene_gene,bax
79272,exosomes,gene_gene,light
79273,exosomes,gene_species,coronavirus
79277,multiorgan failure,disease_species,coronavirus
79283,endoplasmic reticulum,gene_treat_procedure,folding
79285,imbalance,symptom_disease,ageing
79286,imbalance,symptom_disease,zinc deficiency
79287,zinc,drug_disease,infection
79288,zinc deficiency,disease_gene,plasma
79291,infection,disease_disease,ageing
79293,presence,treat_procedure_disease,ageing
79296,alexa fluor,drug_gene,antibody
79297,cdna,gene_treat_procedure,construction
79298,triethylamine,drug_drug,boc
79299,expression,treat_procedure_gene,polymerase
79301,red,gene_disease,rna
79302,neutral red,drug_disease,rna
79303,impact,gene_treat_procedure,aid
79304,pandemic disease,disease_disease,betacoronavirus
79307,respiratory infection,disease_treat_procedure,change
79309,influenza infection,disease_species,enterobacteriaceae
79311,influenza viral infection,disease_species,enterobacteriaceae
79313,imbalance,symptom_species,patient
79315,fibrinogen,gene_disease,app
79316,quarantine,drug_symptom,cough
79318,grid,gene_disease,glow
79319,protein,gene_treat_procedure,ice
79322,c3,drug_gene,c1q
79323,hemopexin,gene_gene,hdl
79325,hsp90,gene_gene,chaperone protein
79326,hsp90,gene_disease,rheumatoid arthritis
79328,hsp90,gene_disease,arthritis
79330,expression,treat_procedure_disease,melanoma
79331,dipeptides,gene_drug,proline
79335,middle east respiratory syndrome coronavirus,disease_gene,dipeptidyl peptidase 4
79336,neuronal migration,gene_disease,2009
79337,autosomal recessive disorder,disease_species,human
79338,wart,gene_gene,clone
79339,virus,disease_disease,hit
79341,respiratory virus,disease_disease,hit
79342,hit,disease_disease,type
79344,transferrin,gene_gene,serum
79346,step,gene_gene,cut
79348,pattern,gene_symptom,fit
79349,pattern,gene_gene,mask
79351,membrane,gene_gene,anti-rabbit igg
79352,membrane,gene_gene,igg
79353,anti-cd4,gene_gene,antibody
79362,isolation,treat_procedure_disease,community
79364,virus infection,disease_treat_procedure,transfusion
79367,epidemic,disease_disease,coronavirus outbreak
79369,receptor,gene_disease,influenza c virus
79370,treatment,treat_procedure_drug,formic acid
79371,formaldehyde,drug_gene,c9
79372,minor,gene_gene,set
79375,ctp,gene_gene,adenylate kinase
79376,fusion,treat_procedure_treat_procedure,expression
79377,esterase,gene_disease,superinfection
79378,esterase,gene_gene,c9
79379,sialic acid,drug_treat_procedure,detected
79380,sialic acid,drug_disease,blood
79382,prevention,treat_procedure_disease,chaga
79383,antibody,gene_disease,chaga
79384,step,gene_disease,inflammation
79385,step,gene_species,helicobacter pylorus
79386,protein complex,gene_gene,gene
79388,macrophage sialoadhesin,gene_symptom,mass
79389,gangliosides,drug_drug,sialic acid
79392,disease,disease_gene,autosomal
79399,treatment,treat_procedure_treat_procedure,emergency care
79400,dental treatment,treat_procedure_treat_procedure,emergency care
79404,no,gene_disease,er
79406,lm,drug_treat_procedure,division
79407,ic,disease_treat_procedure,fusion
79408,ic,disease_disease,er
79410,delivery,treat_procedure_gene,phagosome
79415,diphyllin,drug_disease,ic
